,parid,parid_card,bldg_id,struct_typ,str_prob,year_built,no_stories,a_stories,b_stories,bsmt_type,sq_foot,gsq_foot,occ_type,occ_detail,major_occ,broad_occ,appr_bldg,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,cont_val,efacility,dwell_unit,str_typ2,occ_typ2,tract_id,guid,FID_NEW,origin,stat_class,rmv_improv,rmv_land,elev,period,strctid,x,y,value_matc,geometry
79,,,,W1,,1960,1,,,,,,,,,,3858,,,,,Pre - Code,,,,W1,,,d25c7bba-5ce1-4837-b28e-f0b0d5c1cbbc,5690,1,191,0.0,0.0,-1.102866,0.35,41007021185022008S,-123.91015625,46.0112533569,0,POINT (-123.9101583933814 46.01125494608314)
80,,,,W1,,1979,1,,,,,,,,,,6027,,,,,Low - Code,,,,W1,,,a8ff7f86-8c45-4643-a745-dc1892fe01ca,5689,1,191,0.0,0.0,-1.102866,0.35,41007021185022003S,-123.91015625,46.0112533569,0,POINT (-123.9101583933814 46.01125494608314)
81,,,,W1,,1995,1,,,,,,,,,,32277,,,,,Moderate - Code,,,,W1,,,0b187888-88f9-40ee-8475-3cf9bac0232d,5688,1,193,0.0,0.0,-14.826966,0.35,41007022416079022S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
82,,,,W1,,1995,1,,,,,,,,,,49202,,,,,Moderate - Code,,,,W1,,,0f644ce7-84a8-4846-a678-34edca42872b,5687,1,193,0.0,0.0,-14.826966,0.35,41007022416079037S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
83,,,,W1,,1992,1,,,,,,,,,,46820,,,,,Low - Code,,,,W1,,,689226e6-13d3-4d4f-a8c1-4ff51896c850,5686,1,193,0.0,0.0,-14.826966,0.35,41007022416079007S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
84,,,,W1,,1997,1,,,,,,,,,,74608,,,,,Moderate - Code,,,,W1,,,199ee2fc-b2e3-4b70-aff4-079884f6c874,5685,1,191,0.0,0.0,-14.826966,0.35,41007022416079034S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
85,,,,W1,,1993,1,,,,,,,,,,18236,,,,,Moderate - Code,,,,W1,,,647b8845-9323-4f76-88d5-e83ca0a98dd2,5684,1,193,0.0,0.0,-14.838559,0.35,41007022394003003S,-123.907333374,45.9989891052,0,POINT (-123.9073336552726 45.99898978058225)
86,,,,W1,,1992,1,,,,,,,,,,44505,,,,,Low - Code,,,,W1,,,6764738c-813b-4fc9-a712-bc6f0a50c92a,5683,1,193,0.0,0.0,-14.826966,0.35,41007022416079026S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
87,,,,W1,,1992,1,,,,,,,,,,54816,,,,,Low - Code,,,,W1,,,4e5750f1-f06e-4d35-9d13-722badb90b8c,5682,1,193,0.0,0.0,-14.826966,0.35,41007022416079064S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
88,,,,W1,,1972,1,,,,,,,,,,12374,,,,,Pre - Code,,,,W1,,,efcdb2ba-67c8-4898-bb9e-52a1fe56b425,5681,1,193,0.0,0.0,-1.037119,0.35,41007020933038025S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
89,,,,W1,,1972,1,,,,,,,,,,6166,,,,,Pre - Code,,,,W1,,,e3aa0f65-ec6e-43ba-bec1-3f6b415d7686,5680,1,191,0.0,0.0,-0.026324,0.35,41007022712044023S,-123.91558075,45.9961471558,0,POINT (-123.9155842594153 45.99614784057414)
